id;Latex;English 1;English 2;English 3
153;\delta^2 + \eta^2 = y^2;Delta squared plus eta squared equals y squared.;The square of delta plus the square of eta equals the square of y.;Delta squared added to eta squared is equal to y squared.
154;x^2 + z^2 = a^2;X squared plus Z squared equals A squared.;The square of X plus the square of Z equals the square of A.;X to the power of two plus Z to the power of two equals A to the power of two.
155;\zeta^2 + a^2 = x^2;Zeta squared plus a squared equals x squared.;The square of zeta plus the square of a equals the square of x.;Zeta squared plus a squared is equal to x squared.
156;c^2 + \zeta^2 = a^2;C squared plus zeta squared equals a squared.;The square of c plus the square of zeta equals the square of a.;C squared added to zeta squared is equal to a squared.
157;\alpha^2 + \alpha^2 = \alpha^2;Alpha squared plus alpha squared equals alpha squared.;The sum of alpha squared and alpha squared is alpha squared.;Alpha squared added to alpha squared gives us alpha squared.
158;a^2 + \alpha^2 = \alpha^2;A squared plus alpha squared equals alpha squared.;The square of a plus the square of alpha equals the square of alpha.;A squared added to alpha squared is equal to alpha squared.
159;\alpha^2 + b^2 = \gamma^2;Alpha squared plus b squared equals gamma squared.;The square of alpha plus the square of b equals the square of gamma.;Alpha to the power of two plus b to the power of two equals gamma to the power of two.
160;\zeta^2 + a^2 = a^2;Zeta squared plus a squared equals a squared.;The square of zeta plus the square of a equals the square of a.;Zeta squared added to a squared is equal to a squared.
161;y^2 + \epsilon^2 = \delta^2;Y squared plus epsilon squared equals delta squared.;The square of Y plus the square of epsilon equals the square of delta.;Y to the power of two plus epsilon to the power of two equals delta to the power of two.
162;a^2 + y^2 = \delta^2;A squared plus Y squared equals delta squared.;The sum of A squared and Y squared is equal to delta squared.;Square of A plus square of Y equals square of delta.
163;\eta^2 + \alpha^2 = \gamma^2;Eta squared plus alpha squared equals gamma squared.;The square of eta plus the square of alpha equals the square of gamma.;Square eta plus square alpha is equal to square gamma.
164;b^2 + \delta^2 = \beta^2;B squared plus delta squared equals beta squared.;The square of b plus the square of delta equals the square of beta.;B to the power of two plus delta to the power of two equals beta to the power of two.
165;\delta^2 + \delta^2 = \beta^2;Delta squared plus delta squared equals beta squared.;The sum of delta squared and delta squared is beta squared.;Delta squared added to delta squared gives us beta squared.
166;y^2 + z^2 = y^2;The square of y plus the square of z equals the square of y.;Y squared plus z squared equals y squared.;The sum of y squared and z squared is equal to y squared.
167;\eta^2 + z^2 = z^2;Eta squared plus z squared equals z squared.;The sum of eta squared and z squared equals z squared.;Eta squared added to z squared is equal to z squared.
168;\delta^2 + c^2 = \epsilon^2;Delta squared plus c squared equals epsilon squared.;The square of delta plus the square of c equals the square of epsilon.;Delta squared added to c squared gives us epsilon squared.
169;\zeta^2 + \delta^2 = y^2;Zeta squared plus delta squared equals y squared.;The square of zeta plus the square of delta equals the square of y.;Zeta squared added to delta squared gives us y squared.
170;z^2 + \beta^2 = c^2;Z squared plus beta squared equals c squared.;The square of z plus the square of beta equals the square of c.;Z to the power of two plus beta to the power of two equals c to the power of two.
171;e^{x\pi} + 63 = 0;E to the power of x pi, plus 63, equals zero.;Exponential of x pi, plus 63, is zero.;E raised to the x pi, plus 63, equals zero.
172;e^{\alpha\pi} + 984 = 0;E to the power of alpha pi, plus 984, equals zero.;Exponential of alpha pi, plus 984, is zero.;E raised to the alpha pi, plus 984, equals zero.
173;e^{\zeta\pi} + 290 = 0;E to the power of zeta pi, plus 290, equals zero.;Exponential of zeta pi, plus 290, is zero.;E raised to the zeta pi, plus 290, equals zero.
174;e^{c\pi} + 292 = 0;E to the power of c pi, plus 292, equals zero.;Exponential of c pi, plus 292, is zero.;E raised to the c pi, plus 292, equals zero.
175;e^{a\pi} + 681 = 0;E to the power of a pi, plus 681, equals zero.;Exponential of a pi, plus 681, is zero.;E raised to the a pi, plus 681, equals zero.
176;e^{\epsilon\pi} + 333 = 0;E to the power of epsilon pi, plus 333, equals zero.;Exponential of epsilon pi, plus 333, is zero.;E raised to the epsilon pi, plus 333, equals zero.
177;e^{y\pi} + 151 = 0;E to the power of y pi, plus 151, equals zero.;Exponential of y pi, plus 151, is zero.;E raised to the y pi, plus 151, equals zero.
178;e^{a\pi} + 596 = 0;E to the power of a pi, plus 596, equals zero.;Exponential of a pi, plus 596, is zero.;E raised to the a pi, plus 596, equals zero.
179;e^{x\pi} + 143 = 0;E to the power of x pi, plus 143, equals zero.;Exponential of x pi, plus 143, is zero.;E raised to the x pi, plus 143, equals zero.
180;e^{z\pi} + 575 = 0;E to the power of z pi, plus 575, equals zero.;Exponential of z pi, plus 575, is zero.;E raised to the z pi, plus 575, equals zero.
181;e^{\alpha\pi} + 396 = 0;E to the power of alpha pi, plus 396, equals zero.;Exponential of alpha pi, plus 396, is zero.;E raised to the alpha pi, plus 396, equals zero.
182;e^{\epsilon\pi} + 475 = 0;E to the power of epsilon pi, plus 475, equals zero.;Exponential of epsilon pi, plus 475, is zero.;E raised to the epsilon pi, plus 475, equals zero.
183;e^{\epsilon\pi} + 674 = 0;E to the power of epsilon pi, plus 674, equals zero.;Exponential of epsilon pi, plus 674, is zero.;E raised to the epsilon pi, plus 674, equals zero.
184;e^{b\pi} + 1690 = 0;E to the power of b pi, plus 126, equals zero.;Exponential of b pi, plus 126, is zero.;E raised to the b pi, plus 126, equals zero.
185;e^{\eta\pi} + 380 = 0;E to the power of eta pi, plus 380, equals zero.;Exponential of eta pi, plus 380, is zero.;E raised to the eta pi, plus 380, equals zero.
186;e^{\alpha\pi} + 65 = 0;E to the power of alpha pi, plus 65, equals zero.;Exponential of alpha pi, plus 65, is zero.;E raised to the alpha pi, plus 65, equals zero.
187;e^{\delta\pi} + 634 = 0;E to the power of delta pi, plus 634, equals zero.;Exponential of delta pi, plus 634, is zero.;E raised to the delta pi, plus 634, equals zero.
188;e^{x\pi} + 822 = 0;E to the power of x pi, plus 822, equals zero.;Exponential of x pi, plus 822, is zero.;E raised to the x pi, plus 822, equals zero.
189;e^{a\pi} + 577 = 0;E to the power of a pi, plus 577, equals zero.;Exponential of a pi, plus 577, is zero.;E raised to the a pi, plus 577, equals zero.
190;e^{c\pi} + 815 = 0;E to the power of c pi, plus 815, equals zero.;Exponential of c pi, plus 815, is zero.;E raised to the c pi, plus 815, equals zero.
191;\frac{d}{d \eta} f(\eta) = f'(a);The derivative of f with respect to eta equals f prime of a.;The rate of change of f with respect to eta is equal to the derivative of f at a.;The differential of f with respect to eta is the same as the derivative of f evaluated at a.
192;\frac{d}{d a} g(z) = G'(a);The derivative of g of z with respect to a equals G prime of a.;The rate of change of g of z with respect to a is equal to the derivative of G at a.;Differentiating g of z with respect to a gives us G prime of a.
193;\frac{d}{d y} f(y) = f'(a);The derivative of f of y with respect to y equals f prime of a.;The rate of change of f of y with respect to y is equal to the derivative of f at a.;The differential of f of y with respect to y is f prime at a.
194;\frac{d}{d a} g(z) = G'(a);The derivative of g of z with respect to a equals G prime of a.;The rate of change of g of z with respect to a is equal to the derivative of G at a.;Differentiating g of z with respect to a gives us G prime of a.
195;\frac{d}{d \zeta} \omega(\zeta) =\omega'(a);The derivative of omega with respect to zeta equals omega prime of a.;The rate of change of omega with respect to zeta is equal to the derivative of omega at a.;Differentiating omega with respect to zeta gives us omega prime at a.
196;\frac{d}{d y} h(a) = h'(a);The derivative of h of a with respect to y equals h prime of a.;The rate of change of h of a with respect to y is equal to the derivative of h at a.;Differentiating h of a with respect to y gives us h prime of a.
197;\frac{d}{d \zeta} \phi(\zeta) = \phi'(a);The derivative of phi of zeta with respect to zeta equals phi prime of a.;The rate of change of phi with respect to zeta equals the derivative of phi at a.;Differentiating phi with respect to zeta gives us phi prime at a.
198;\frac{d}{d c} g(\zeta) = g'(\zeta);The derivative of g of zeta with respect to c equals g prime of zeta.;Differentiating g of zeta with respect to c gives us g prime of zeta.;The rate of change of g of zeta with respect to c is g prime of zeta.
199;\frac{d}{d y} h(\eta) = h'(\beta);The derivative of h of eta with respect to y equals h prime of beta.;The rate of change of h of eta with respect to y is equal to the derivative of h at beta.;Differentiating h of eta with respect to y gives us h prime of beta.
200;\frac{d}{d z} g(c) = G'(a);The derivative of g of c with respect to z equals the derivative of G at a.;The rate of change of g of c with respect to z is equal to the rate of change of G at a.;The differential of g of c with respect to z is the same as the differential of G at a.
201;\frac{d}{d \delta} g(\epsilon) = G'(a);The derivative of g of epsilon with respect to delta equals G prime of a.;The rate of change of g of epsilon with respect to delta is equal to the derivative of G at a.;The differential of g of epsilon with respect to delta is G prime at a.
202;\frac{d}{d \eta} f(\alpha) = f'(\alpha);The derivative of f of alpha with respect to eta equals f prime of alpha.;Differentiating f of alpha with respect to eta gives us f prime of alpha.;The rate of change of f of alpha with respect to eta is f prime of alpha.
203;\frac{d}{d \delta} \phi(\delta) = \phi'(\eta);The derivative of phi with respect to delta equals phi prime of eta.;The rate of change of phi with respect to delta is equal to the derivative of phi at eta.;Differentiating phi with respect to delta gives us phi prime evaluated at eta.
204;\frac{d}{d \epsilon} g(x) = G'(a);The derivative of g of x with respect to epsilon equals G prime of a.;The rate of change of g of x with respect to epsilon is equal to the derivative of G at a.;The differential of g of x over the differential of epsilon equals the derivative of G evaluated at a.
205;\frac{d}{d \delta} g(\epsilon) = g'(\delta);The derivative of g of epsilon with respect to delta equals g prime of delta.;Differentiating g of epsilon with respect to delta gives us g prime of delta.;The rate of change of g of epsilon with respect to delta is g prime of delta.
